User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAS6FANBXRSFWX74ZT,2022-08-09T04:10:04Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:202199862755:trail/Udacity_Trail""}]",29b57dfe-725a-4437-bc1b-ed9f20d6cb81,20311f48-f076-4098-8c61-4ea11027577e,false,AwsApiCall,202199862755,Management
CloudTrail,ASIAS6FANBXRSFWX74ZT,2022-08-09T04:10:04Z,cloudtrail.amazonaws.com,UpdateTrail,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:202199862755:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-202199862755-f73ae002""}]",269be0ee-849c-4920-8efc-ef0057a5f9f5,dcd7d9de-e7db-4d0d-9cb0-7a57a6829529,false,AwsApiCall,202199862755,Management
CloudTrail,ASIAS6FANBXRSFWX74ZT,2022-08-09T04:10:04Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:202199862755:trail/Udacity_Trail""}]",870c1a08-6a45-46d7-b6a8-21bf45622d9e,df834cf6-551f-47ba-a379-63fccca4b2f1,false,AwsApiCall,202199862755,Management
CloudTrail,ASIAS6FANBXRSFWX74ZT,2022-08-09T04:08:27Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",bb5b94ab-0403-41a5-92c2-8ff963a36ff1,6a7e03de-0681-4013-8677-b3eb7592589d,false,AwsApiCall,202199862755,Management
CloudTrail,ASIAS6FANBXRSFWX74ZT,2022-08-09T04:08:26Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,113.190.252.57,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.204-124.362.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-202199862755-f73ae002""}]",944GJ2M311SEDZ09,76ec4cf6-431d-46b7-a556-a5b7c7c19255,false,AwsApiCall,202199862755,Management
CloudTrail,ASIAS6FANBXRSFWX74ZT,2022-08-09T04:08:26Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:202199862755:trail/Udacity_Trail""}]",4ba9b947-1af5-465a-8326-ce58ae4af550,bbb92b72-7686-4109-bf95-ec6a3acbfd90,false,AwsApiCall,202199862755,Management
CloudTrail,ASIAS6FANBXRSFWX74ZT,2022-08-09T04:08:26Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:202199862755:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-202199862755-f73ae002""}]",50bf1bdc-e4b7-49f7-8007-2aadaade505a,d3acf58f-27c7-407d-b2cd-95436b6ff754,false,AwsApiCall,202199862755,Management
CloudTrail,ASIAS6FANBXRSFWX74ZT,2022-08-09T04:08:25Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,113.190.252.57,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.204-124.362.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-202199862755-f73ae002""}]",944T8Y5P8JX9C7QC,59e75073-f8ac-4e13-96bd-6495e464e474,false,AwsApiCall,202199862755,Management
CloudTrail,ASIAS6FANBXRSFWX74ZT,2022-08-09T04:08:25Z,s3.amazonaws.com,CreateBucket,us-east-1,113.190.252.57,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.204-124.362.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-202199862755-f73ae002""}]",944XMPCMBPEET25B,80faef34-0efc-4878-91ea-93806d3c4003,false,AwsApiCall,202199862755,Management
CloudTrail,ASIAS6FANBXR66HBGJF7,2022-08-09T04:06:54Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],fe7f0b8f-a781-4dd2-899f-ed4bd0d37ef8,8676f156-7d11-42fe-9d2e-4670d7bbd877,false,AwsApiCall,202199862755,Management
CloudTrail,,2022-08-09T04:06:07Z,signin.amazonaws.com,ConsoleLogin,us-east-1,210.245.53.9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",,[],,d4ce6b90-dae1-48a1-bf55-f06f697f2d90,false,AwsConsoleSignIn,202199862755,Management
root,ASIAS6FANBXRWPFN3ZFX,2022-08-09T03:58:11Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",1c1e0908-a4fa-4691-acb2-dc6291d3f377,5af3f670-4971-4bd4-a277-c52ab2974599,false,AwsApiCall,202199862755,Management
